ID	SEX	AGE	EDUC	ETHNIC	EMPLOY	MARITAL	SEXN
1303	"M"	36	6	5	1	2	1
1304	"M"	63	8	5	3	2	1
1305	"F"	74	7	5	3	4	2
1306	"M"	44	8	5	1	2	1
1307	"F"	56	5	5	2	2	2
1308	"M"	55	6	5	1	2	1
1309	"M"	40	8	5	1	2	1
1310	"F"	48	5	6	6	2	2
1311	"F"	31	5	5	5	1	2
1312	"M"	46	5	5	5	2	1
1313	"M"	68	5	5	3	2	1
1314	"F"	37	5	5	2	2	2
1315	"F"	52	3	5	6	3	2
1316	"M"	44	8	3	2	2	1
1317	"M"	50	8	5	1	2	1
1318	"M"	40	6	5	1	2	1
1319	"F"	59	7	5	6	2	2
1320	"F"	73	5	5	2	2	2
1321	"F"	33	2	5	2	2	2
1322	"F"	57	8	5	2	4	2
1323	"F"	59	5	5	2	2	2
1324	"F"	46	8	5	4	2	2
1325	"F"	47	6	5	2	2	2
1326	"M"	33	8	5	1	2	1
1328	"F"	43	5	5	1	2	2
1329	"M"	75	6	5	3	2	1
1330	"M"	44	5	5	1	2	1
1332	"M"	41	5	5	1	2	1
1333	"F"	32	3	5	6	2	2
1334	"F"	61	8	5	3	4	2
1335	"F"	46					2
1336	"M"	46					1
1337	"M"	40	8	5	1	2	1
1338	"F"	40	6	5	4	2	2
1339	"F"	30	6	5	4	2	2
1340	"M"	45	5	5	1	2	1
1341	"M"	51	3	5	1	2	1
1342	"M"	48	6	5	1	2	1
1343	"M"	35	6	5	1	2	1
1344	"M"	52	3	5	1	2	1
1345	"F"	27	5	5	1	2	2
1346	"F"	69	3	5	6	2	2
1347	"F"	30	4	5	4	2	2
1348	"M"	74	5	5	3	2	1
1349	"M"	43	8	5	5	2	1
1350	"F"	42					2
1351	"M"	36	5	5	1	2	1
1352	"M"	39	3	5	1	2	1
1353	"M"	46	7	5	1	2	1
1355	"F"	32	3	5	6	2	2
1356	"M"	66	8	5	3	2	1
1357	"M"	62	3	5	3	2	1
1358	"F"	18	5	5	1	5	2
1359	"F"	60					2
1360	"F"	30					2
1361	"M"	72	6	5	3	2	1
1362	"M"	35	5	5	1	2	1
1363	"M"	47	6	5	1	2	1
1364	"M"	72	5	5	3	2	1
1365	"M"	75	3	5	3	2	1
1366	"M"	37	6	5	1	2	1
1367	"F"	52					2
1368	"M"	40	6	5	6	2	1
1369	"M"	43	8	5	1	2	1
1370	"M"	72	8	5	3	2	1
1371	"F"	50	8	5	2	2	2
1372	"F"	52	3	3	2	2	2
1373	"M"	50	7	5	1	2	1
1374	"M"	46	8	5	1	5	1
1375	"F"	67	8	5	3	3	2
1376	"F"	41	5	5	2	2	2
1377	"M"	45	7	5	1	2	1
1378	"F"	38	6	5	4	2	2
1379	"M"	60	4	5	1	2	1
