ID,SEX,AGE,EDUC,ETHNIC,EMPLOY,MARITAL,SEXN
1964,F,41,4,5,2,2,2
1966,F,40,5,5,2,2,2
1967,F,53,7,5,2,2,2
1969,F,44,8,5,2,2,2
1974,F,46,5,5,1,2,2
1975,F,51,7,5,6,2,2
1980,F,56,8,5,2,2,2
1982,F,73,8,5,3,2,2
1987,F,39,4,5,2,3,2
1988,F,41,6,5,2,2,2
1990,F,42,5,5,2,2,2
1994,F,53,8,5,3,3,2
1998,F,43,8,5,2,2,2
2002,F,44,5,5,2,2,2
2011,F,38,6,5,2,2,2
2012,F,48,5,5,1,2,2
2015,F,38,8,5,1,2,2
2023,F,64,8,5,3,2,2
2024,F,43,8,5,1,2,2
2025,F,58,5,5,4,2,2
2028,F,40,8,5,1,2,2
2029,F,48,6,5,2,2,2
2044,F,47,6,5,2,2,2
2053,M,66,6,5,3,2,1
2063,M,40,8,5,1,2,1
2074,F,36,5,5,4,2,2
2075,M,58,5,5,3,2,1
2076,F,38,7,5,1,2,2
2095,M,53,5,5,6,2,1
2104,F,40,5,5,1,2,2
2106,F,43,5,5,1,1,2
2118,F,54,6,5,4,2,2
2121,F,38,6,5,1,6,2
2126,F,74,5,5,3,3,2
2127,F,36,5,5,2,2,2
2134,F,54,7,5,1,2,2
2135,M,55,7,5,1,2,1
2141,F,43,6,5,2,2,2
2145,F,60,5,5,1,3,2
2147,M,57,5,5,2,2,1
2149,F,33,3,5,2,2,2
2161,F,43,6,5,1,2,2
2179,F,53,6,5,1,3,2
2181,F,62,5,5,4,2,2
2183,F,61,5,5,3,2,2
2186,F,39,2,5,4,2,2
2187,F,56,3,5,1,4,2
2201,M,45,5,5,6,1,1
2202,F,37,5,5,1,2,2
2209,F,76,6,5,4,4,2
2210,F,47,4,5,2,2,2
2211,F,72,8,5,3,2,2
2212,M,44,5,5,1,2,1
2213,F,47,3,5,4,2,2
2216,F,25,5,5,2,2,2
2217,F,57,5,5,2,3,2
2220,F,79,5,5,3,4,2
2222,F,48,8,5,1,2,2
2223,F,57,5,5,3,3,2
2224,F,72,8,5,3,2,2
2225,F,79,5,5,3,4,2
2226,M,27,5,5,2,1,1
2227,M,36,5,5,6,2,1
2234,F,59,8,5,4,2,2
2235,F,62,5,5,1,2,2
2238,F,51,5,5,6,2,2
2239,F,71,8,5,3,4,2
2242,F,65,7,5,3,2,2
2243,F,50,3,5,1,3,2
2246,F,64,3,5,3,2,2
2247,M,37,5,5,1,2,1
2248,F,46,4,5,4,2,2
2249,F,50,3,5,2,3,2
2251,F,52,8,5,1,2,2
2252,F,75,7,5,3,2,2
2253,F,73,4,5,3,2,2
2256,F,57,3,5,2,2,2
2258,F,52,3,5,5,2,2
2259,F,57,5,5,2,1,2
2260,F,28,5,5,1,3,2
2261,F,53,3,5,1,2,2
2262,F,64,6,5,4,2,2
2263,F,74,6,5,6,2,2
2264,F,63,5,5,3,3,2
2265,F,71,3,5,4,4,2
2268,F,70,7,5,3,2,2
2269,F,52,3,5,4,2,2
2272,F,54,5,5,4,2,2
2273,M,32,5,5,4,2,1
2277,F,45,5,5,5,3,2
2278,F,46,5,5,1,2,2
2280,F,54,5,5,1,3,2
2281,F,46,8,5,1,2,2
2283,F,46,6,5,1,2,2
2284,M,30,8,5,1,3,1
2286,F,49,5,5,1,5,2
2290,F,51,5,5,1,2,2
2292,F,65,8,5,2,2,2
2293,F,51,7,5,1,3,2
2295,M,38,5,5,1,2,1
2296,M,38,5,5,1,2,1
2298,F,53,2,5,3,4,2
2302,F,56,8,5,1,2,2
2304,F,63,5,5,6,2,2
2305,F,47,6,5,6,5,2
2307,F,66,5,5,4,2,2
2308,F,55,5,5,2,2,2
2309,F,53,4,5,3,2,2
2310,F,53,6,5,4,2,2
2311,F,44,4,5,2,2,2
2315,F,62,7,5,3,4,2
2317,F,58,5,5,2,2,2
2318,F,45,4,5,2,2,2
2319,F,61,4,5,4,2,2
2320,M,40,7,1,1,2,1
2324,M,38,4,5,1,2,1
2326,F,43,4,5,5,3,2
2327,F,65,3,5,3,3,2
2328,F,48,5,5,1,2,2
2331,F,67,5,5,3,2,2
2332,F,57,2,5,4,2,2
2333,F,69,8,5,3,2,2
2339,F,69,3,5,2,2,2
2344,F,50,4,5,1,2,2
2346,F,73,8,5,3,3,2
2347,F,49,5,5,1,2,2
2348,F,69,5,5,3,2,2
2349,F,68,7,5,3,2,2
2353,F,64,5,5,2,4,2
2356,F,68,5,5,2,2,2
2357,F,66,3,5,3,2,2
2359,F,60,8,5,2,3,2
2361,F,71,8,5,6,3,2
2365,F,77,6,5,4,2,2
2367,F,47,5,5,1,3,2
2368,F,56,8,5,2,2,2
2370,F,65,5,5,3,4,2
2371,M,27,5,5,1,2,1
2374,F,44,6,5,2,2,2
2377,F,48,4,5,2,2,2
2378,F,71,3,5,3,2,2
2379,M,29,6,5,6,2,1
2383,F,63,8,5,1,3,2
2389,F,63,5,5,1,4,2
2390,F,51,6,5,1,2,2
2394,F,59,7,5,1,2,2
2395,F,49,8,5,1,1,2
2396,F,63,3,5,3,2,2
2401,F,55,8,5,2,3,2
2403,F,67,5,5,3,2,2
2404,M,40,3,5,1,2,1
2405,F,49,5,5,4,2,2
2406,F,68,5,5,3,3,2
2407,F,64,4,5,3,3,2
2408,F,63,3,5,3,4,2
2410,F,76,6,5,3,2,2
2413,F,54,3,5,4,2,2
2417,F,61,3,5,6,4,2
2421,F,37,5,5,1,3,2
2422,F,53,8,5,1,3,2
2424,F,49,3,5,1,2,2
2426,F,42,5,5,1,2,2
2428,F,37,2,5,4,2,2
2431,F,44,5,5,6,2,2
2432,F,32,5,5,4,2,2
2433,F,78,4,5,3,4,2
2434,F,42,3,5,4,3,2
2436,F,51,8,5,1,4,2
2437,F,77,7,5,3,4,2
2440,F,49,8,5,6,2,2
2442,F,34,4,5,2,2,2
2443,F,48,6,5,1,3,2
2445,F,49,2,5,1,2,2
2446,F,72,6,5,4,2,2
2447,F,66,7,2,3,2,2
2449,F,50,3,1,4,2,2
2450,F,48,3,1,2,2,2
2454,F,46,7,5,2,3,2
2462,F,46,5,NA,NA,NA,2
2464,M,34,5,5,5,2,1
